Algorithm,Accuracy,Precision,Recall,F1_Score,F2_Score,AUC_ROC,AUC_PR,MCC,True_Positives,False_Positives,True_Negatives,False_Negatives,Total_Cost_INR,Train_Time_Sec,Prediction_Latency_ms,Model_Size_KB
AdaBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40,0,635,0,0.0,0.34860682487487793,0.01365520336009838,28.658203125
LightGBM,0.9985185185185185,0.975609756097561,1.0,0.9876543209876543,0.9950248756218906,0.9986614173228345,0.957419098606243,0.9869515503715833,40,1,634,0,5000.0,0.08150362968444824,0.00782012939453125,242.8955078125
XGBoost,0.997037037037037,0.9523809523809523,1.0,0.975609756097561,0.9900990099009901,0.9997637795275591,0.9950900116144017,0.974362010411984,40,2,633,0,10000.0,0.03513526916503906,0.003991303620515046,76.8916015625
Decision_Tree,0.997037037037037,0.975,0.975,0.975,0.975,0.9867125984251969,0.9521064814814815,0.9734251968503937,39,1,634,1,155000.0,0.015479326248168945,0.0015770947491681134,2.2373046875
Random_Forest,0.997037037037037,0.975,0.975,0.975,0.975,0.9999606299212599,0.999390243902439,0.9734251968503937,39,1,634,1,155000.0,0.29938769340515137,0.03643636350278501,348.7939453125
Gradient_Boosting_Hist,0.997037037037037,0.975,0.975,0.975,0.975,0.9999015748031497,0.9982558139534884,0.9734251968503937,39,1,634,1,155000.0,1.0852601528167725,0.008075502183702257,320.0322265625
ANN_MLP_Baseline,0.9911111111111112,0.8863636363636364,0.975,0.9285714285714286,0.9558823529411765,0.996259842519685,0.97203557499504,0.9250365487109932,39,5,630,1,175000.0,1.0294134616851807,0.0028136924461082177,251.4765625
Support_Vector_Machine,0.9837037037037037,0.7959183673469388,0.975,0.8764044943820225,0.9330143540669856,0.9958661417322834,0.9667971809111781,0.8728997131736292,39,10,625,1,200000.0,0.43622827529907227,0.016193036679868347,48.69921875
Gaussian_Naive_Bayes,0.9762962962962963,0.7222222222222222,0.975,0.8297872340425532,0.9112149532710281,0.9913779527559055,0.9758523732104337,0.8279941362273286,39,15,620,1,225000.0,0.0043752193450927734,0.0017727745903862847,1.4453125
Logistic_Regression_L1_L2,0.9792592592592593,0.76,0.95,0.8444444444444444,0.9047619047619048,0.9937007874015747,0.9410349290454435,0.8394392579076436,38,12,623,2,360000.0,0.16563177108764648,0.001728976214373553,1.2177734375
K_Nearest_Neighbors,0.922962962962963,0.43333333333333335,0.975,0.6,0.78,0.981515748031496,0.6855123008930994,0.6214237477422515,39,51,584,1,405000.0,0.008724212646484375,0.08168008592393664,855.8115234375
Quadratic_Discriminant_Analysis,0.9066666666666666,0.3883495145631068,1.0,0.5594405594405595,0.7604562737642585,0.9921653543307086,0.8957271272905023,0.5914561269664362,40,63,572,0,315000.0,0.006064653396606445,0.0017936141402633103,5.0869140625
