Feature,Mutual_Information_Score,Random_Forest_Importance,LASSO_Coefficient_Abs,MI_Rank,RF_Rank,LASSO_Rank,Composite_Rank
PatientIncomeINR,0.43648943977669696,0.2282159267016932,3.0944233221942574,2.5,1.0,4.0,2.5
PatientIncome,0.43648943977669696,0.19810963125391975,3.0944233221943476,2.5,3.0,3.0,2.8333333333333335
ClaimAmountINR,0.429990048451216,0.20859542603349396,3.926373059991106,4.5,2.0,2.0,2.8333333333333335
ClaimAmount,0.429990048451216,0.18888013699605485,3.9263730599911106,4.5,4.0,1.0,3.1666666666666665
Cluster,0.42699495281410704,0.09692196512162017,2.1446603582079757,6.0,5.0,5.0,5.333333333333333
IndianState_Encoded,0.3573364920914883,0.006732075250020454,0.28298318575539394,8.0,8.0,6.0,7.333333333333333
PatientAge,0.4790547085578569,0.0012450853837590607,0.018979677876601233,1.0,14.0,11.0,8.666666666666666
IndianCity_Encoded,0.4056361776721318,0.010624012889378044,0.0,7.0,7.0,13.5,9.166666666666666
InsurerCompany_Encoded,0.28156310595756295,0.0015845971231913567,0.023809478368482035,9.0,12.0,10.0,10.333333333333334
ClaimType_Encoded,0.1845591197631382,0.001418587184985493,0.12723864608813706,12.0,13.0,7.0,10.666666666666666
HospitalTier_Encoded,0.16330845753204537,0.046236315283467916,0.0,13.0,6.0,13.5,10.833333333333334
PolicyType_Encoded,0.27899743353882966,0.0035554107327333963,0.0,10.0,10.0,13.5,11.166666666666666
ProviderSpecialty_Encoded,0.2584824963770189,0.004796857659996936,0.0,11.0,9.0,13.5,11.166666666666666
ClaimSubmissionMethod_Encoded,0.15422626176021037,0.0029989308438828086,0.02731131151582326,14.0,11.0,9.0,11.333333333333334
PatientGender_Encoded,0.03365135868178215,8.504154180250367e-05,0.10198958596239742,15.0,15.0,8.0,12.666666666666666
