column,missing_count,missing_percent,dtype,unique_values
ClaimAmount,0,0.0,float64,4490
ClaimDate,0,0.0,datetime64[ns],731
ClaimID,0,0.0,object,4500
ClaimLegitimacy,0,0.0,object,2
ClaimStatus,0,0.0,object,3
ClaimSubmissionMethod,0,0.0,object,3
ClaimType,0,0.0,object,4
Cluster,0,0.0,int64,4
DiagnosisCode,0,0.0,object,4495
PatientAge,0,0.0,int64,100
PatientEmploymentStatus,0,0.0,object,4
PatientGender,0,0.0,object,2
PatientID,0,0.0,object,4500
PatientIncome,0,0.0,float64,4500
PatientMaritalStatus,0,0.0,object,4
ProcedureCode,0,0.0,object,4495
ProviderID,0,0.0,object,4500
ProviderLocation,0,0.0,object,3876
ProviderSpecialty,0,0.0,object,5
