feature,importance
numeric__claim_amount_inr,0.3095129748035371
numeric__patient_income_inr,0.14488953613117125
numeric__claim_to_income_ratio,0.005113209305951672
numeric__cluster_code,0.0
numeric__patient_age_years,0.0
numeric__log_claim_amount,0.0
numeric__log_patient_income,0.0
numeric__claim_minus_income_scaled,0.0
numeric__claim_amount_per_age,0.0
numeric__income_age_interaction,0.0
numeric__claim_year,0.0
numeric__claim_month,0.0
numeric__claim_day_of_week,0.0
numeric__claim_day_of_month,0.0
numeric__claim_is_weekend,0.0
numeric__claim_month_sin,0.0
numeric__claim_month_cos,0.0
categorical__age_band_0_17,0.0
categorical__age_band_18_30,0.0
categorical__age_band_31_45,0.0
categorical__age_band_46_60,0.0
categorical__age_band_61_75,0.0
categorical__age_band_76_plus,0.0
categorical__cluster_category_0,0.0
categorical__cluster_category_1,0.0
categorical__cluster_category_2,0.0
categorical__cluster_category_3,0.0
categorical__patientgender_F,0.0
categorical__patientgender_M,0.0
categorical__providerspecialty_Cardiology,0.0
categorical__providerspecialty_General Practice,0.0
categorical__providerspecialty_Neurology,0.0
categorical__providerspecialty_Orthopedics,0.0
categorical__providerspecialty_Pediatrics,0.0
categorical__patientmaritalstatus_Divorced,0.0
categorical__patientmaritalstatus_Married,0.0
categorical__patientmaritalstatus_Single,0.0
categorical__patientmaritalstatus_Widowed,0.0
categorical__patientemploymentstatus_Employed,0.0
categorical__patientemploymentstatus_Retired,0.0
categorical__patientemploymentstatus_Student,0.0
categorical__patientemploymentstatus_Unemployed,0.0
categorical__claimtype_Emergency,0.0
categorical__claimtype_Inpatient,0.0
categorical__claimtype_Outpatient,0.0
categorical__claimtype_Routine,0.0
categorical__claimsubmissionmethod_Online,0.0
categorical__claimsubmissionmethod_Paper,0.0
categorical__claimsubmissionmethod_Phone,0.0
