slice_column,slice_value,n,positive_n,stable_for_comparison,tpr_recall,fpr,precision,accuracy,predicted_fraud_rate
PatientGender,F,356,25,True,0.96,0.0,1.0,0.9971910112359551,0.06741573033707865
PatientGender,M,319,15,True,1.0,0.0,1.0,1.0,0.047021943573667714
age_band,0_17,103,5,True,1.0,0.0,1.0,1.0,0.04854368932038835
age_band,18_30,95,7,True,1.0,0.0,1.0,1.0,0.07368421052631578
age_band,31_45,97,8,True,0.875,0.0,1.0,0.9896907216494846,0.07216494845360824
age_band,46_60,115,4,True,1.0,0.0,1.0,1.0,0.034782608695652174
age_band,61_75,102,5,True,1.0,0.0,1.0,1.0,0.049019607843137254
age_band,76_plus,163,11,True,1.0,0.0,1.0,1.0,0.06748466257668712
ClaimType,Emergency,185,14,True,1.0,0.0,1.0,1.0,0.07567567567567568
ClaimType,Inpatient,159,10,True,1.0,0.0,1.0,1.0,0.06289308176100629
ClaimType,Outpatient,151,6,True,0.8333333333333334,0.0,1.0,0.9933774834437086,0.033112582781456956
ClaimType,Routine,180,10,True,1.0,0.0,1.0,1.0,0.05555555555555555
PatientEmploymentStatus,Employed,177,11,True,1.0,0.0,1.0,1.0,0.062146892655367235
PatientEmploymentStatus,Retired,157,15,True,0.9333333333333333,0.0,1.0,0.9936305732484076,0.08917197452229299
PatientEmploymentStatus,Student,160,10,True,1.0,0.0,1.0,1.0,0.0625
PatientEmploymentStatus,Unemployed,181,4,True,1.0,0.0,1.0,1.0,0.022099447513812154
