model,dimension,group,n,accuracy,fpr,fnr,precision,recall,selection_rate,small_group_warning
XGBoost,gender,Female,828,0.9951690821256038,0.004195804195804196,0.008849557522123894,0.9739130434782609,0.9911504424778761,0.1388888888888889,False
XGBoost,gender,Male,931,0.9935553168635876,0.006402048655569782,0.006666666666666667,0.9675324675324676,0.9933333333333333,0.16541353383458646,False
XGBoost,gender,Non-binary/Prefer not to say,41,1.0,0.0,0.0,1.0,1.0,0.14634146341463414,False
XGBoost,age_group,Child (0–17),155,0.9935483870967742,0.008,0.0,0.967741935483871,1.0,0.2,False
XGBoost,age_group,Young adult (18–34),479,0.9958246346555324,0.0,0.028985507246376812,1.0,0.9710144927536232,0.13987473903966596,False
XGBoost,age_group,Adult (35–49),616,0.9918831168831169,0.009505703422053232,0.0,0.9473684210526315,1.0,0.15422077922077923,False
XGBoost,age_group,Older adult (50–64),436,0.9954128440366973,0.005390835579514825,0.0,0.9701492537313433,1.0,0.1536697247706422,False
XGBoost,age_group,Senior (65+),114,1.0,0.0,0.0,1.0,1.0,0.13157894736842105,False
XGBoost,state,Bihar,48,1.0,0.0,0.0,1.0,1.0,0.16666666666666666,False
XGBoost,state,Delhi,121,1.0,0.0,0.0,1.0,1.0,0.1322314049586777,False
XGBoost,state,Gujarat,160,0.99375,0.007407407407407408,0.0,0.9615384615384616,1.0,0.1625,False
XGBoost,state,Karnataka,285,0.9929824561403509,0.00819672131147541,0.0,0.9534883720930233,1.0,0.15087719298245614,False
XGBoost,state,Kerala,128,1.0,0.0,0.0,1.0,1.0,0.15625,False
XGBoost,state,Maharashtra,235,1.0,0.0,0.0,1.0,1.0,0.13191489361702127,False
XGBoost,state,Odisha,56,1.0,0.0,0.0,1.0,1.0,0.16071428571428573,False
XGBoost,state,Rajasthan,90,1.0,0.0,0.0,1.0,1.0,0.14444444444444443,False
XGBoost,state,Tamil Nadu,210,0.9857142857142858,0.005681818181818182,0.058823529411764705,0.9696969696969697,0.9411764705882353,0.15714285714285714,False
XGBoost,state,Telangana,168,1.0,0.0,0.0,1.0,1.0,0.1488095238095238,False
XGBoost,state,Uttar Pradesh,193,0.9948186528497409,0.006172839506172839,0.0,0.96875,1.0,0.16580310880829016,False
XGBoost,state,West Bengal,106,0.9716981132075472,0.03333333333333333,0.0,0.8421052631578947,1.0,0.1792452830188679,False
XGBoost,income_bracket,High,89,0.9887640449438202,0.01282051282051282,0.0,0.9166666666666666,1.0,0.1348314606741573,False
XGBoost,income_bracket,Low,338,0.9970414201183432,0.0,0.018867924528301886,1.0,0.9811320754716981,0.15384615384615385,False
XGBoost,income_bracket,Lower-middle,474,0.9915611814345991,0.007518796992481203,0.013333333333333334,0.961038961038961,0.9866666666666667,0.16244725738396623,False
XGBoost,income_bracket,Middle,582,0.9982817869415808,0.00202020202020202,0.0,0.9886363636363636,1.0,0.15120274914089346,False
XGBoost,income_bracket,Upper-middle,317,0.9905362776025236,0.010948905109489052,0.0,0.9347826086956522,1.0,0.14511041009463724,False
XGBoost,treatment_type,Appendectomy,167,0.9880239520958084,0.007042253521126761,0.04,0.96,0.96,0.1497005988023952,False
XGBoost,treatment_type,Ayurvedic outpatient,173,1.0,0.0,0.0,1.0,1.0,0.12716763005780346,False
XGBoost,treatment_type,Ayurvedic panchakarma,151,0.9933774834437086,0.007936507936507936,0.0,0.9615384615384616,1.0,0.17218543046357615,False
XGBoost,treatment_type,Cardiac hospitalization,161,0.9937888198757764,0.007352941176470588,0.0,0.9615384615384616,1.0,0.16149068322981366,False
XGBoost,treatment_type,Cataract day-care,171,1.0,0.0,0.0,1.0,1.0,0.1286549707602339,False
XGBoost,treatment_type,Dengue hospitalization,214,0.9953271028037384,0.005649717514124294,0.0,0.9736842105263158,1.0,0.17757009345794392,False
XGBoost,treatment_type,Dialysis day-care,147,0.9931972789115646,0.008403361344537815,0.0,0.9655172413793104,1.0,0.19727891156462585,False
XGBoost,treatment_type,Maternity delivery,225,1.0,0.0,0.0,1.0,1.0,0.13333333333333333,False
XGBoost,treatment_type,Orthopaedic surgery,196,0.9795918367346939,0.017964071856287425,0.034482758620689655,0.9032258064516129,0.9655172413793104,0.15816326530612246,False
XGBoost,treatment_type,Respiratory outpatient,195,1.0,0.0,0.0,1.0,1.0,0.13333333333333333,False
