rank,key,display_name,family,status,val_accuracy,val_precision,val_recall,val_f1,val_f2,val_roc_auc,val_pr_auc,val_mcc,val_brier,val_log_loss,test_accuracy,test_precision,test_recall,test_f1,test_f2,test_roc_auc,test_pr_auc,test_mcc,test_brier,test_log_loss,threshold,train_seconds,predict_ms_per_sample,artifact_kb,search_trials,error_reason,best_params,run_id
1,voting,Soft voting ensemble,ensemble,complete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012033153387028574,0.009957046893809671,0.9985185185185185,1.0,0.975,0.9873417721518988,0.9798994974874372,1.0,1.0,0.9866443032481743,0.0019335399538394486,0.013215436439729868,0.49,0.45899995700006,0.07560280740748299,849.4091796875,1,,{},run_20260807_151423
2,hist_gradient_boosting,Histogram gradient boosting,boosting,complete,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.4411072381359856e-05,0.0002636682991989814,0.9985185185185185,1.0,0.975,0.9873417721518988,0.9798994974874372,0.9999606299212598,0.9993902439024391,0.9866443032481743,0.001472992533022443,0.008622469718738273,0.97,1.1335135279998667,0.00772361481486533,149.302734375,4,,"{'max_leaf_nodes': 15, 'max_iter': 180, 'learning_rate': 0.1, 'l2_regularization': 1.0}",run_20260807_151423
3,stacking,Stacking ensemble,ensemble,complete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0011252898217580026,0.013525487325155133,0.9985185185185185,0.975609756097561,1.0,0.9876543209876543,0.9950248756218906,1.0,1.0,0.9869515503715833,0.002135447333810259,0.016724508841951674,0.5,1.260608804000185,0.026496705185208056,721.869140625,1,,{},run_20260807_151423
4,random_forest,Random forest,bagging,complete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0014519742883464285,0.007657044973342185,0.9985185185185185,0.975609756097561,1.0,0.9876543209876543,0.9950248756218906,0.9999606299212599,0.9993902439024389,0.9869515503715833,0.0013471992653894685,0.008341948853212424,0.2,3.220754561999911,0.08071333481489597,694.8837890625,4,,"{'n_estimators': 220, 'min_samples_leaf': 1, 'max_depth': None}",run_20260807_151423
5,adaboost,AdaBoost,boosting,complete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.389858212702082e-08,5.730716564635507e-05,0.9985185185185185,1.0,0.975,0.9873417721518988,0.9798994974874372,0.999271653543307,0.9885135135135135,0.9866443032481743,0.0014815155373262246,0.018220437412623695,0.99,4.523342999000079,0.019367322962959104,51.41015625,4,,"{'n_estimators': 80, 'learning_rate': 0.05}",run_20260807_151423
6,gradient_boosting,Gradient boosting,boosting,complete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.910128906143261e-10,1.111916730239665e-06,0.9985185185185185,1.0,0.975,0.9873417721518988,0.9798994974874372,0.9999803149606299,0.999390243902439,0.9866443032481743,0.0014811055556676563,0.01329259593554854,0.99,6.831100019999894,0.0012638844445636668,160.2734375,4,,"{'n_estimators': 140, 'max_depth': 2, 'learning_rate': 0.1}",run_20260807_151423
7,svm_rbf,Support vector machine (RBF),margin,complete,0.9985185185185185,1.0,0.975609756097561,0.9876543209876543,0.9803921568627451,0.9955374317150112,0.9819791828491534,0.9869515503715833,0.004623258548337393,0.027581827556501962,0.9911111111111112,0.9047619047619048,0.95,0.926829268292683,0.9405940594059405,0.9987795275590551,0.9800474708193035,0.9224114292881223,0.006988420839181954,0.024230006718097382,0.43,1.2948792099998627,0.010815601481226622,79.6357421875,4,,"{'gamma': 0.01, 'C': 10.0}",run_20260807_151423
8,decision_tree,Decision tree,tree,complete,0.9985185185185185,1.0,0.975609756097561,0.9876543209876543,0.9803921568627451,0.9878048780487805,0.9770912375790425,0.9869515503715833,0.0014814811851951851,0.023878760075498755,0.9985185185185185,1.0,0.975,0.9873417721518988,0.9798994974874372,0.9874803149606299,0.9764814814814815,0.9866443032481743,0.002646519488004923,0.027106215400423295,0.99,0.36822668199988584,0.00032415555560200355,2.3056640625,12,,"{'max_depth': 3, 'min_samples_leaf': 3}",run_20260807_151423
9,extra_trees,Extra trees,bagging,complete,0.9955555555555555,0.9523809523809523,0.975609756097561,0.963855421686747,0.970873786407767,0.9985573593906287,0.9874353288987435,0.9615672250223358,0.007882464096757441,0.03376123368986151,0.9955555555555555,0.9512195121951219,0.975,0.9629629629629629,0.9701492537313433,0.9996653543307087,0.9947037896492326,0.9606821380489958,0.007596749811043005,0.033166418428888345,0.4,2.5643540650000887,0.050657919999947704,2543.1494140625,4,,"{'n_estimators': 140, 'min_samples_leaf': 1, 'max_depth': None}",run_20260807_151423
10,logistic_l1,Logistic regression (L1),linear,complete,0.9940740740740741,0.9302325581395349,0.975609756097561,0.9523809523809523,0.966183574879227,0.9949988458875125,0.9774694808779951,0.9495293721692178,0.008027579035184357,0.036012940795536366,0.9911111111111112,0.8695652173913043,1.0,0.9302325581395349,0.970873786407767,0.9993700787401575,0.9902024992248372,0.9280888174805733,0.010916909832790565,0.03757239886439111,0.65,1.910909674000095,0.0003080859258059516,1.2607421875,3,,{'C': 1.0},run_20260807_151423
11,mlp,Multi-layer perceptron,neural_baseline,complete,0.9925925925925926,0.9090909090909091,0.975609756097561,0.9411764705882353,0.9615384615384616,0.9944987304762638,0.9754709921811866,0.9378945765231692,0.006555122040826062,0.03505017676397552,0.9881481481481481,0.8333333333333334,1.0,0.9090909090909091,0.9615384615384616,0.9984645669291339,0.9736284683149852,0.9071023347281669,0.008260699498179739,0.026873949197039105,0.23,1.4585216489999766,0.0014927362964819487,132.947265625,4,,"{'learning_rate_init': 0.003, 'hidden_layer_sizes': [64, 32], 'alpha': 0.01}",run_20260807_151423
12,linear_discriminant,Linear discriminant analysis,probabilistic,complete,0.9911111111111112,0.8888888888888888,0.975609756097561,0.9302325581395349,0.9569377990430622,0.9919596830037701,0.9133072686334412,0.9266404041399924,0.01718389039236261,0.08669245854122506,0.9866666666666667,0.8163265306122449,1.0,0.898876404494382,0.9569377990430622,0.9961417322834645,0.920140831395564,0.8970822416526852,0.022853474057550362,0.10681136619471587,0.87,0.18928372699997453,0.0002469437037722889,20.7998046875,2,,{'solver': 'lsqr'},run_20260807_151423
13,logistic_l2,Logistic regression (L2),linear,complete,0.9881481481481481,0.851063829787234,0.975609756097561,0.9090909090909091,0.9478672985781991,0.9949219050550127,0.9747387944871531,0.905192595036342,0.008449632338695388,0.036793915293357835,0.9881481481481481,0.8333333333333334,1.0,0.9090909090909091,0.9615384615384616,0.9990944881889765,0.9863191439938093,0.9071023347281669,0.010464197685513058,0.03829033994606002,0.53,0.9945905529998527,0.00031706814836609366,1.2607421875,3,,{'C': 10.0},run_20260807_151423
14,passive_aggressive,Passive-aggressive classifier,online_linear,complete,0.9881481481481481,0.851063829787234,0.975609756097561,0.9090909090909091,0.9478672985781991,0.9942294375625145,0.9523814823154156,0.905192595036342,0.01224168270945401,0.044548790566772196,0.9792592592592593,0.75,0.975,0.8478260869565217,0.9198113207547169,0.995748031496063,0.924871908610917,0.8452002853327506,0.012155723035085546,0.04348645308528064,0.27,0.2935363970000253,0.0015206770368186647,4.05078125,3,,{'estimator__C': 0.1},run_20260807_151423
15,ridge,Calibrated ridge classifier,linear,complete,0.9807407407407407,0.7692307692307693,0.975609756097561,0.8602150537634409,0.9259259259259259,0.990767100100023,0.9500600219174248,0.8569561625874779,0.011421305726716008,0.04794478013264811,0.9807407407407407,0.7647058823529411,0.975,0.8571428571428571,0.9241706161137441,0.9984645669291338,0.9776058171457659,0.8541691197798297,0.008376630476349551,0.02943815786084581,0.26,0.2685456570000042,0.0017558355554043643,3.39453125,3,,{'estimator__alpha': 1.0},run_20260807_151423
16,qda,Quadratic discriminant analysis,probabilistic,complete,0.9644444444444444,0.6307692307692307,1.0,0.7735849056603774,0.8951965065502183,0.985996768485035,0.7000230407162371,0.7790324326892636,0.03590085027762818,0.49420946496921814,0.9496296296296296,0.5405405405405406,1.0,0.7017543859649122,0.8547008547008547,0.9821653543307086,0.6389856557377049,0.7152609400670596,0.04440953596611258,0.6068316872947165,0.08,0.21719473799998923,0.0013936281481653201,39.90625,4,,{'reg_param': 0.0},run_20260807_151423
17,knn,K-nearest neighbors,instance,complete,0.9644444444444444,0.6440677966101694,0.926829268292683,0.76,0.852017937219731,0.9767446333769332,0.8218998386973213,0.7558140930784917,0.021445932460789796,0.08297748779358922,0.9585185185185185,0.603448275862069,0.875,0.7142857142857143,0.8027522935779816,0.9846456692913386,0.7270903296860409,0.7066560824261462,0.024671123606720788,0.11367479730563732,0.37,0.33893600199985485,0.018315428148222658,1231.25390625,6,,"{'n_neighbors': 5, 'weights': 'distance'}",run_20260807_151423
18,gaussian_nb,Gaussian naive Bayes,probabilistic,complete,0.9525925925925925,0.5633802816901409,0.975609756097561,0.7142857142857143,0.851063829787234,0.9723205355081941,0.662911824598472,0.7214970681591599,0.053118051092964295,0.6719795877395613,0.9422222222222222,0.5063291139240507,1.0,0.6722689075630253,0.8368200836820083,0.9755905511811024,0.5633802816901409,0.6893705355420966,0.06214871963021877,0.8801947041266932,0.99,0.16576976200008176,0.0008504696294645935,2.2880859375,3,,{'var_smoothing': 1e-07},run_20260807_151423
19,bernoulli_nb,Bernoulli naive Bayes,probabilistic,complete,0.9318518518518518,0.47058823529411764,0.975609756097561,0.6349206349206349,0.8032128514056225,0.9582595983688544,0.4820696287802351,0.6512878211576045,0.08111686825006849,0.408907286657355,0.922962962962963,0.43478260869565216,1.0,0.6060606060606061,0.7936507936507936,0.9582677165354331,0.43144493826189134,0.6318056374978925,0.09803981921162576,0.48493664207802223,0.97,0.17519661000005726,0.0011964962962978192,2.3193359375,3,,{'alpha': 5.0},run_20260807_151423
20,majority,Majority-class baseline,baseline,complete,0.06074074074074074,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.5,0.06074074074074074,0.0,0.05705185185185186,0.2290056968065615,0.05925925925925926,0.05925925925925926,1.0,0.11188811188811189,0.23952095808383234,0.5,0.05925925925925926,0.0,0.055748148148148165,0.22492934819464744,0.05,0.0006425579999813635,0.00013197481469736277,0.5693359375,1,,{},run_20260807_151423
