split,row_index
train,664
train,3866
train,3043
train,2866
train,3752
train,4143
train,3991
train,1432
train,1109
train,3475
train,2665
train,2881
train,4210
train,1691
train,1060
train,2410
train,2075
train,1961
train,1642
train,3149
train,2768
train,2969
train,4409
train,3484
train,3392
train,2762
train,4250
train,1157
train,1260
train,3753
train,3526
train,332
train,1269
train,1217
train,1667
train,4074
train,1177
train,1191
train,763
train,4297
train,3665
train,302
train,1705
train,2337
train,2193
train,4479
train,4191
train,3170
train,266
train,121
train,2310
train,857
train,1289
train,1484
train,2856
train,2386
train,1872
train,851
train,4327
train,369
train,1481
train,3171
train,412
train,4208
train,4192
train,573
train,2145
train,957
train,4447
train,442
train,1027
train,723
train,1215
train,1542
train,146
train,2009
train,3822
train,3209
train,4401
train,875
train,2757
train,3300
train,1608
train,2370
train,4236
train,2436
train,1480
train,148
train,2412
train,1740
train,282
train,646
train,385
train,2741
train,1647
train,2116
train,3046
train,903
train,1508
train,3869
train,3463
train,3257
train,1458
train,186
train,888
train,3845
train,914
train,2603
train,2629
train,2502
train,440
train,2227
train,2566
train,2885
train,33
train,380
train,2018
train,2
train,2253
train,647
train,1493
train,1011
train,201
train,4095
train,3703
train,1511
train,4459
train,2426
train,3569
train,894
train,143
train,1066
train,219
train,2389
train,727
train,1433
train,4496
train,1774
train,3784
train,303
train,3685
train,1926
train,4072
train,2876
train,1537
train,2252
train,1622
train,3111
train,2137
train,4371
train,3875
train,720
train,2736
train,1703
train,2014
train,2939
train,712
train,1836
train,4458
train,2578
train,1829
train,2111
train,20
train,1163
train,2599
train,1457
train,4115
train,3513
train,4461
train,4026
train,190
train,4141
train,1558
train,3440
train,1888
train,1037
train,504
train,2257
train,577
train,2729
train,4166
train,1194
train,2180
train,4431
train,2346
train,2315
train,3893
train,1159
train,840
train,2155
train,831
train,3848
train,333
train,2725
train,2840
train,1903
train,981
train,3990
train,3874
train,3889
train,3217
train,2046
train,3922
train,368
train,2827
train,3169
train,1489
train,1813
train,4372
train,346
train,2947
train,296
train,3696
train,293
train,1959
train,2407
train,985
train,105
train,4344
train,212
train,1204
train,2914
train,834
train,4348
train,110
train,3879
train,1464
train,3234
train,4397
train,3533
