params,mean_test_score,std_test_score,rank_test_score
"{""max_depth"": 3, ""min_samples_leaf"": 1}",0.9797964997964997,0.014291054153457461,9
"{""max_depth"": 3, ""min_samples_leaf"": 3}",0.99005291005291,0.014067309509319698,1
"{""max_depth"": 3, ""min_samples_leaf"": 8}",0.99005291005291,0.014067309509319698,1
"{""max_depth"": 6, ""min_samples_leaf"": 1}",0.9797964997964997,0.014291054153457461,9
"{""max_depth"": 6, ""min_samples_leaf"": 3}",0.99005291005291,0.014067309509319698,1
"{""max_depth"": 6, ""min_samples_leaf"": 8}",0.99005291005291,0.014067309509319698,1
"{""max_depth"": 10, ""min_samples_leaf"": 1}",0.9797964997964997,0.014291054153457461,9
"{""max_depth"": 10, ""min_samples_leaf"": 3}",0.99005291005291,0.014067309509319698,1
"{""max_depth"": 10, ""min_samples_leaf"": 8}",0.99005291005291,0.014067309509319698,1
"{""max_depth"": null, ""min_samples_leaf"": 1}",0.9797964997964997,0.014291054153457461,9
"{""max_depth"": null, ""min_samples_leaf"": 3}",0.99005291005291,0.014067309509319698,1
"{""max_depth"": null, ""min_samples_leaf"": 8}",0.99005291005291,0.014067309509319698,1
