threshold,precision,recall,f1,f2,specificity,false_positive,false_negative
0.01,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.02,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.03,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.04,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.05,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.060000000000000005,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.06999999999999999,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.08,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.09,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.09999999999999999,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.11,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.12,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.13,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.14,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.15000000000000002,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.16,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.17,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.18000000000000002,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.19,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.2,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.21000000000000002,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.22,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.23,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.24000000000000002,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.25,0.06074074074074074,1.0,0.11452513966480447,0.24433849821215733,0.0,634,0
0.26,0.06092124814264487,1.0,0.11484593837535013,0.24492234169653523,0.0031545741324921135,632,0
0.27,0.06110283159463487,1.0,0.1151685393258427,0.24550898203592814,0.006309148264984227,630,0
0.28,0.06146926536731634,1.0,0.11581920903954802,0.246690734055355,0.012618296529968454,626,0
0.29000000000000004,0.06269113149847094,1.0,0.11798561151079137,0.2506112469437653,0.033123028391167195,613,0
0.3,0.06591639871382636,1.0,0.12368024132730016,0.2608142493638677,0.083596214511041,581,0
0.31,0.07387387387387387,1.0,0.13758389261744966,0.2851182197496523,0.1892744479495268,514,0
0.32,0.09297052154195011,1.0,0.17012448132780084,0.33884297520661155,0.36908517350157727,400,0
0.33,0.12576687116564417,1.0,0.22343324250681199,0.41836734693877553,0.5504731861198738,285,0
0.34,0.1646090534979424,0.975609756097561,0.28169014084507044,0.4914004914004914,0.6798107255520505,203,1
0.35000000000000003,0.21978021978021978,0.975609756097561,0.35874439461883406,0.5780346820809249,0.7760252365930599,142,1
0.36000000000000004,0.27586206896551724,0.975609756097561,0.43010752688172044,0.6472491909385113,0.8343848580441641,105,1
0.37,0.36036036036036034,0.975609756097561,0.5263157894736842,0.7272727272727273,0.88801261829653,71,1
0.38,0.40404040404040403,0.975609756097561,0.5714285714285714,0.7604562737642585,0.9069400630914827,59,1
0.39,0.43478260869565216,0.975609756097561,0.6015037593984962,0.78125,0.917981072555205,52,1
0.4,0.47619047619047616,0.975609756097561,0.64,0.8064516129032258,0.9305993690851735,44,1
0.41000000000000003,0.4819277108433735,0.975609756097561,0.6451612903225806,0.8097165991902834,0.9321766561514195,43,1
0.42000000000000004,0.49382716049382713,0.975609756097561,0.6557377049180327,0.8163265306122449,0.9353312302839116,41,1
0.43,0.49382716049382713,0.975609756097561,0.6557377049180327,0.8163265306122449,0.9353312302839116,41,1
0.44,0.5333333333333333,0.975609756097561,0.6896551724137931,0.8368200836820083,0.944794952681388,35,1
0.45,0.547945205479452,0.975609756097561,0.7017543859649122,0.8438818565400844,0.9479495268138801,33,1
0.46,0.5633802816901409,0.975609756097561,0.7142857142857143,0.851063829787234,0.9511041009463722,31,1
0.47000000000000003,0.5714285714285714,0.975609756097561,0.7207207207207207,0.8547008547008547,0.9526813880126183,30,1
0.48000000000000004,0.5882352941176471,0.975609756097561,0.7339449541284404,0.8620689655172413,0.9558359621451105,28,1
0.49,0.5970149253731343,0.975609756097561,0.7407407407407407,0.8658008658008658,0.9574132492113565,27,1
0.5,0.6060606060606061,0.975609756097561,0.7476635514018691,0.8695652173913043,0.9589905362776026,26,1
0.51,0.6153846153846154,0.975609756097561,0.7547169811320755,0.8733624454148472,0.9605678233438486,25,1
0.52,0.625,0.975609756097561,0.7619047619047619,0.8771929824561403,0.9621451104100947,24,1
0.53,0.6349206349206349,0.975609756097561,0.7692307692307693,0.8810572687224669,0.9637223974763407,23,1
0.54,0.6451612903225806,0.975609756097561,0.7766990291262136,0.8849557522123894,0.9652996845425867,22,1
0.55,0.7017543859649122,0.975609756097561,0.8163265306122449,0.9049773755656109,0.973186119873817,17,1
0.56,0.7272727272727273,0.975609756097561,0.8333333333333334,0.91324200913242,0.9763406940063092,15,1
0.5700000000000001,0.7407407407407407,0.975609756097561,0.8421052631578947,0.9174311926605505,0.9779179810725552,14,1
0.5800000000000001,0.7547169811320755,0.975609756097561,0.851063829787234,0.9216589861751152,0.9794952681388013,13,1
0.59,0.851063829787234,0.975609756097561,0.9090909090909091,0.9478672985781991,0.9889589905362776,7,1
0.6,0.8695652173913043,0.975609756097561,0.9195402298850575,0.9523809523809523,0.9905362776025236,6,1
0.61,0.9090909090909091,0.975609756097561,0.9411764705882353,0.9615384615384616,0.9936908517350158,4,1
0.62,0.9743589743589743,0.926829268292683,0.95,0.9359605911330049,0.998422712933754,1,3
0.63,0.9736842105263158,0.9024390243902439,0.9367088607594937,0.9158415841584159,0.998422712933754,1,4
0.64,1.0,0.8292682926829268,0.9066666666666666,0.8585858585858586,1.0,0,7
0.65,1.0,0.7560975609756098,0.8611111111111112,0.7948717948717948,1.0,0,10
0.66,1.0,0.6585365853658537,0.7941176470588235,0.7068062827225131,1.0,0,14
0.67,1.0,0.5609756097560976,0.71875,0.6149732620320856,1.0,0,18
0.68,1.0,0.2682926829268293,0.4230769230769231,0.3142857142857143,1.0,0,30
0.6900000000000001,0.0,0.0,0.0,0.0,1.0,0,41
0.7000000000000001,0.0,0.0,0.0,0.0,1.0,0,41
0.7100000000000001,0.0,0.0,0.0,0.0,1.0,0,41
0.72,0.0,0.0,0.0,0.0,1.0,0,41
0.73,0.0,0.0,0.0,0.0,1.0,0,41
0.74,0.0,0.0,0.0,0.0,1.0,0,41
0.75,0.0,0.0,0.0,0.0,1.0,0,41
0.76,0.0,0.0,0.0,0.0,1.0,0,41
0.77,0.0,0.0,0.0,0.0,1.0,0,41
0.78,0.0,0.0,0.0,0.0,1.0,0,41
0.79,0.0,0.0,0.0,0.0,1.0,0,41
0.8,0.0,0.0,0.0,0.0,1.0,0,41
0.81,0.0,0.0,0.0,0.0,1.0,0,41
0.8200000000000001,0.0,0.0,0.0,0.0,1.0,0,41
0.8300000000000001,0.0,0.0,0.0,0.0,1.0,0,41
0.8400000000000001,0.0,0.0,0.0,0.0,1.0,0,41
0.85,0.0,0.0,0.0,0.0,1.0,0,41
0.86,0.0,0.0,0.0,0.0,1.0,0,41
0.87,0.0,0.0,0.0,0.0,1.0,0,41
0.88,0.0,0.0,0.0,0.0,1.0,0,41
0.89,0.0,0.0,0.0,0.0,1.0,0,41
0.9,0.0,0.0,0.0,0.0,1.0,0,41
0.91,0.0,0.0,0.0,0.0,1.0,0,41
0.92,0.0,0.0,0.0,0.0,1.0,0,41
0.93,0.0,0.0,0.0,0.0,1.0,0,41
0.9400000000000001,0.0,0.0,0.0,0.0,1.0,0,41
0.9500000000000001,0.0,0.0,0.0,0.0,1.0,0,41
0.9600000000000001,0.0,0.0,0.0,0.0,1.0,0,41
0.97,0.0,0.0,0.0,0.0,1.0,0,41
0.98,0.0,0.0,0.0,0.0,1.0,0,41
0.99,0.0,0.0,0.0,0.0,1.0,0,41
