slice_column,slice_value,n,positive_n,stable_for_comparison,tpr_recall,fpr,precision,accuracy,predicted_fraud_rate
PatientGender,F,356,25,True,1.0,0.006042296072507553,0.9259259259259259,0.9943820224719101,0.07584269662921349
PatientGender,M,319,15,True,1.0,0.009868421052631578,0.8333333333333334,0.9905956112852664,0.05642633228840126
age_band,0_17,103,5,True,1.0,0.01020408163265306,0.8333333333333334,0.9902912621359223,0.05825242718446602
age_band,18_30,95,7,True,1.0,0.0,1.0,1.0,0.07368421052631578
age_band,31_45,97,8,True,1.0,0.011235955056179775,0.8888888888888888,0.9896907216494846,0.09278350515463918
age_band,46_60,115,4,True,1.0,0.009009009009009009,0.8,0.991304347826087,0.043478260869565216
age_band,61_75,102,5,True,1.0,0.0,1.0,1.0,0.049019607843137254
age_band,76_plus,163,11,True,1.0,0.013157894736842105,0.8461538461538461,0.9877300613496932,0.07975460122699386
ClaimType,Emergency,185,14,True,1.0,0.0,1.0,1.0,0.07567567567567568
ClaimType,Inpatient,159,10,True,1.0,0.006711409395973154,0.9090909090909091,0.9937106918238994,0.06918238993710692
ClaimType,Outpatient,151,6,True,1.0,0.020689655172413793,0.6666666666666666,0.9801324503311258,0.059602649006622516
ClaimType,Routine,180,10,True,1.0,0.0058823529411764705,0.9090909090909091,0.9944444444444445,0.06111111111111111
PatientEmploymentStatus,Employed,177,11,True,1.0,0.012048192771084338,0.8461538461538461,0.9887005649717514,0.07344632768361582
PatientEmploymentStatus,Retired,157,15,True,1.0,0.014084507042253521,0.8823529411764706,0.9872611464968153,0.10828025477707007
PatientEmploymentStatus,Student,160,10,True,1.0,0.0,1.0,1.0,0.0625
PatientEmploymentStatus,Unemployed,181,4,True,1.0,0.005649717514124294,0.8,0.994475138121547,0.027624309392265192
