feature,position
numeric__claim_amount_inr,0
numeric__patient_age_years,1
numeric__patient_income_inr,2
numeric__cluster_code,3
numeric__log_claim_amount,4
numeric__log_patient_income,5
numeric__claim_to_income_ratio,6
numeric__claim_minus_income_scaled,7
numeric__claim_amount_per_age,8
numeric__income_age_interaction,9
numeric__claim_year,10
numeric__claim_month,11
numeric__claim_day_of_week,12
numeric__claim_day_of_month,13
numeric__claim_is_weekend,14
numeric__claim_month_sin,15
numeric__claim_month_cos,16
categorical__age_band_0_17,17
categorical__age_band_18_30,18
categorical__age_band_31_45,19
categorical__age_band_46_60,20
categorical__age_band_61_75,21
categorical__age_band_76_plus,22
categorical__cluster_category_0,23
categorical__cluster_category_1,24
categorical__cluster_category_2,25
categorical__cluster_category_3,26
categorical__patientgender_F,27
categorical__patientgender_M,28
categorical__providerspecialty_Cardiology,29
categorical__providerspecialty_General Practice,30
categorical__providerspecialty_Neurology,31
categorical__providerspecialty_Orthopedics,32
categorical__providerspecialty_Pediatrics,33
categorical__patientmaritalstatus_Divorced,34
categorical__patientmaritalstatus_Married,35
categorical__patientmaritalstatus_Single,36
categorical__patientmaritalstatus_Widowed,37
categorical__patientemploymentstatus_Employed,38
categorical__patientemploymentstatus_Retired,39
categorical__patientemploymentstatus_Student,40
categorical__patientemploymentstatus_Unemployed,41
categorical__claimtype_Emergency,42
categorical__claimtype_Inpatient,43
categorical__claimtype_Outpatient,44
categorical__claimtype_Routine,45
categorical__claimsubmissionmethod_Online,46
categorical__claimsubmissionmethod_Paper,47
categorical__claimsubmissionmethod_Phone,48
