feature,importance,signed_delta,rank
numeric__claim_amount_inr,0.06560207903385162,0.05652603134512901,1
numeric__claim_to_income_ratio,0.053676895797252655,0.04801167547702789,2
numeric__log_patient_income,0.04848675802350044,-0.047432225197553635,3
numeric__claim_minus_income_scaled,0.036641914397478104,0.03213679417967796,4
categorical__cluster_category_1,0.02248697355389595,0.02248385176062584,5
numeric__patient_income_inr,0.020844224840402603,-0.02009626477956772,6
categorical__cluster_category_0,0.02029741369187832,-0.020297225564718246,7
numeric__cluster_code,0.01944819837808609,-0.012942357920110226,8
categorical__cluster_category_3,0.011654278263449669,-0.011616045609116554,9
numeric__log_claim_amount,0.009783182293176651,-0.0035931335296481848,10
numeric__claim_amount_per_age,0.004721612203866243,0.0004970401641912758,11
numeric__income_age_interaction,0.004305184818804264,0.002412541303783655,12
numeric__claim_day_of_week,0.004208849277347326,-0.0022574053145945072,13
numeric__claim_month,0.00414063036441803,-0.001796616124920547,14
numeric__claim_month_sin,0.003988545387983322,-0.0003844611637759954,15
categorical__claimsubmissionmethod_Paper,0.0038850661367177963,0.0033300290815532207,16
categorical__patientgender_F,0.0038085361011326313,0.000734280445612967,17
numeric__claim_is_weekend,0.003756104037165642,-0.0010552870808169246,18
numeric__claim_month_cos,0.0034282503183931112,-0.0015516706043854356,19
categorical__patientgender_M,0.0033258507028222084,0.0023257900029420853,20
numeric__patient_age_years,0.003081780392676592,0.0006693321629427373,21
numeric__claim_day_of_month,0.0023383726365864277,-0.000928779598325491,22
categorical__claimtype_Emergency,0.002330709947273135,-0.001956561580300331,23
numeric__claim_year,0.002279652049764991,0.00021156757429707795,24
categorical__patientemploymentstatus_Employed,0.0022364696487784386,0.0018860240234062076,25
categorical__providerspecialty_Orthopedics,0.002212385181337595,-0.0018253775779157877,26
categorical__patientmaritalstatus_Married,0.0021343580447137356,0.001554231159389019,27
categorical__patientemploymentstatus_Unemployed,0.0018716850318014622,-0.0017040593083947897,28
categorical__claimsubmissionmethod_Online,0.00181157561019063,-0.0013849119422957301,29
categorical__age_band_18_30,0.001525219064205885,0.0012627792311832309,30
categorical__claimtype_Routine,0.0015067757340148091,0.0006412313086912036,31
categorical__claimsubmissionmethod_Phone,0.0014830174623057246,-0.00028436887077987194,32
categorical__age_band_76_plus,0.0014648714568465948,-0.000654134841170162,33
categorical__claimtype_Inpatient,0.0013681402197107673,-0.0010812045074999332,34
categorical__age_band_0_17,0.0013360226294025779,-0.0006161585915833712,35
categorical__patientmaritalstatus_Single,0.0012655144091695547,0.0006617223261855543,36
categorical__patientmaritalstatus_Divorced,0.0011354690650478005,0.00013670358748640865,37
categorical__patientemploymentstatus_Student,0.0010936090257018805,0.0003301891847513616,38
categorical__claimtype_Outpatient,0.0009937419090420008,-0.0004079123609699309,39
categorical__providerspecialty_Cardiology,0.0009719461668282747,0.0007184931309893727,40
categorical__age_band_61_75,0.0009619689080864191,-0.0008849354344420135,41
categorical__cluster_category_2,0.0009214029414579272,-0.0005800382932648063,42
categorical__patientmaritalstatus_Widowed,0.0008923406712710857,-0.000530384830199182,43
categorical__providerspecialty_Neurology,0.0008452730835415423,-0.0004340378800407052,44
categorical__providerspecialty_Pediatrics,0.0007926659309305251,0.0003811666101682931,45
categorical__age_band_46_60,0.0006878742133267224,-0.0004408856912050396,46
categorical__providerspecialty_General Practice,0.0006023902096785605,0.0004867968673352152,47
categorical__patientemploymentstatus_Retired,0.0005697916494682431,2.678101918718312e-05,48
categorical__age_band_31_45,0.00021481675503309816,5.8958292356692255e-05,49
