feature,importance,signed_delta,rank
numeric__claim_amount_inr,0.0807611420750618,0.08060554414987564,1
numeric__claim_minus_income_scaled,0.051567137241363525,0.051537662744522095,2
numeric__claim_to_income_ratio,0.0450446717441082,0.045017343014478683,3
numeric__log_claim_amount,0.023168038576841354,0.023124268278479576,4
numeric__log_patient_income,0.02059289626777172,-0.02054918371140957,5
categorical__cluster_category_1,0.015243975445628166,0.015240659937262535,6
numeric__cluster_code,0.00648918142542243,0.0035317465662956238,7
numeric__claim_month,0.005657400004565716,0.0013730345526710153,8
numeric__patient_income_inr,0.005068764556199312,-8.672908006701618e-05,9
numeric__patient_age_years,0.004984559025615454,-0.0018205525120720267,10
categorical__patientgender_F,0.004422040656208992,0.0042810020968317986,11
numeric__income_age_interaction,0.0040484159253537655,0.003543309634551406,12
categorical__claimsubmissionmethod_Paper,0.0034932971466332674,0.0032234794925898314,13
numeric__claim_amount_per_age,0.0034850668162107468,1.1646837265288923e-05,14
categorical__patientmaritalstatus_Married,0.003060093382373452,0.0030440115369856358,15
numeric__claim_month_cos,0.0026226926129311323,-0.0006210989668034017,16
categorical__providerspecialty_Cardiology,0.0023548470344394445,0.002343638800084591,17
categorical__patientemploymentstatus_Employed,0.0023118832614272833,0.0023080979008227587,18
categorical__patientgender_M,0.0022185479756444693,0.0021830492187291384,19
numeric__claim_month_sin,0.002118032891303301,-0.0013123262906447053,20
categorical__patientemploymentstatus_Student,0.0020355586893856525,0.0020013332832604647,21
categorical__claimtype_Routine,0.0019878665916621685,0.0011845797998830676,22
categorical__patientemploymentstatus_Unemployed,0.0019223300041630864,-0.0019077376928180456,23
categorical__age_band_76_plus,0.0018071039812639356,0.0016697082901373506,24
numeric__claim_is_weekend,0.0017580781131982803,-0.0001728429924696684,25
numeric__claim_day_of_week,0.0017147662583738565,-0.0009049237123690546,26
categorical__patientmaritalstatus_Single,0.001689103664830327,0.0012678123312070966,27
numeric__claim_year,0.0015992617700248957,-0.0010186107829213142,28
numeric__claim_day_of_month,0.0014827961567789316,-0.0012021970469504595,29
categorical__age_band_46_60,0.0013089003041386604,0.001305578975006938,30
categorical__claimtype_Inpatient,0.001195480115711689,0.0009455297258682549,31
categorical__age_band_18_30,0.0011210591765120625,0.0011161081492900848,32
categorical__providerspecialty_Pediatrics,0.001085764029994607,0.00108210404869169,33
categorical__patientmaritalstatus_Divorced,0.0010800707386806607,0.0010742832673713565,34
categorical__claimtype_Emergency,0.0010512869339436293,-0.001050709979608655,35
categorical__claimtype_Outpatient,0.0010043776128441095,0.0009487999486736953,36
categorical__patientmaritalstatus_Widowed,0.0007671081693843007,-0.00023253465769812465,37
categorical__providerspecialty_Orthopedics,0.0007537893252447248,-0.0007088223937898874,38
categorical__providerspecialty_Neurology,0.0007354758563451469,-0.0005441665416583419,39
categorical__claimsubmissionmethod_Online,0.00070868682814762,-0.0007008714601397514,40
categorical__cluster_category_3,0.0006648132693953812,-0.0006648132693953812,41
categorical__claimsubmissionmethod_Phone,0.0006414996460080147,-0.0005518363323062658,42
categorical__age_band_61_75,0.00046085260692052543,-0.0004094353935215622,43
categorical__providerspecialty_General Practice,0.00027969019720330834,0.00026121438713744283,44
categorical__age_band_0_17,0.00025916495360434055,-6.597468018298969e-05,45
categorical__patientemploymentstatus_Retired,0.0002575225371401757,-0.00018706859555095434,46
categorical__age_band_31_45,0.00021537192515097558,2.017681981669739e-05,47
categorical__cluster_category_0,0.00015507318312302232,-0.000154844528879039,48
categorical__cluster_category_2,3.83795631933026e-05,-3.83795631933026e-05,49
