feature,importance,signed_delta,rank
numeric__claim_to_income_ratio,0.06342169642448425,0.062306538224220276,1
numeric__claim_minus_income_scaled,0.0600159578025341,0.059904806315898895,2
numeric__log_claim_amount,0.05899134278297424,0.0562119223177433,3
numeric__log_patient_income,0.0526440255343914,0.05186410993337631,4
numeric__claim_amount_inr,0.046678442507982254,0.04598171263933182,5
numeric__cluster_code,0.028140591457486153,0.008326401002705097,6
numeric__patient_income_inr,0.027479734271764755,0.02309783175587654,7
numeric__income_age_interaction,0.009673233143985271,0.009251232258975506,8
numeric__claim_month,0.005906378850340843,0.0017624838510528207,9
numeric__patient_age_years,0.005740440916270018,0.0008219305309467018,10
numeric__claim_month_sin,0.004873651545494795,-0.0021144195925444365,11
numeric__claim_day_of_week,0.004012542776763439,0.0009069935767911375,12
numeric__claim_year,0.0035250361543148756,-0.0013952257577329874,13
numeric__claim_month_cos,0.0035022522788494825,-0.0014066823059692979,14
numeric__claim_day_of_month,0.003419968532398343,0.0012756803771480918,15
numeric__claim_is_weekend,0.00313877547159791,-0.0006035197875462472,16
numeric__claim_amount_per_age,0.0013761513400822878,-0.00010821811883943155,17
categorical__claimsubmissionmethod_Paper,0.0011839010985568166,-0.0011839010985568166,18
categorical__claimsubmissionmethod_Phone,0.0008064412395469844,-0.0008064412395469844,19
categorical__patientgender_M,0.0006201536161825061,0.00021478559938259423,20
categorical__cluster_category_1,0.0006089427042752504,0.00043079000897705555,21
categorical__patientgender_F,0.0004803008632734418,-0.00015902402810752392,22
categorical__claimsubmissionmethod_Online,0.0004768611106555909,-0.0004768611106555909,23
categorical__age_band_0_17,0.0004365362401586026,4.1086583223659545e-05,24
categorical__patientemploymentstatus_Employed,0.000398127653170377,-0.00022210700262803584,25
categorical__patientmaritalstatus_Widowed,0.0003660353540908545,-0.00010339812433812767,26
categorical__patientemploymentstatus_Unemployed,0.0003564316139090806,0.00014111027121543884,27
categorical__claimtype_Routine,0.00034481388865970075,-0.00016219473036471754,28
categorical__age_band_46_60,0.00032824583468027413,0.00032820645719766617,29
categorical__age_band_18_30,0.000283051427686587,0.0001197791934828274,30
categorical__providerspecialty_Neurology,0.0002613171236589551,0.0002259989851154387,31
categorical__cluster_category_3,0.0002594265970401466,-9.725997369969264e-05,32
categorical__patientemploymentstatus_Student,0.00025205189012922347,0.00015625210653524846,33
categorical__providerspecialty_General Practice,0.0002360392827540636,4.1441737266723067e-05,34
categorical__providerspecialty_Cardiology,0.00023094673815649003,-0.0001822601625462994,35
categorical__claimtype_Inpatient,0.00021594054123852402,0.00017333262076135725,36
categorical__patientmaritalstatus_Married,0.00020690463134087622,5.7951354392571375e-05,37
categorical__claimtype_Outpatient,0.00020351824059616774,3.4948861866723746e-05,38
categorical__claimtype_Emergency,0.00017719960305839777,-3.4034277632599697e-05,39
categorical__providerspecialty_Orthopedics,0.00015669481945224106,0.00010730480425991118,40
categorical__providerspecialty_Pediatrics,0.00014807879051659256,5.028100713388994e-05,41
categorical__age_band_76_plus,0.00013968971325084567,-3.1449293601326644e-05,42
categorical__patientmaritalstatus_Divorced,0.00013287986803334206,2.8996360924793407e-05,43
categorical__patientmaritalstatus_Single,0.00013125003897584975,4.4966451241634786e-05,44
categorical__patientemploymentstatus_Retired,8.736890595173463e-05,4.470313069759868e-05,45
categorical__age_band_31_45,7.358544098678976e-05,7.079841452650726e-05,46
categorical__cluster_category_0,7.099909998942167e-05,-1.565017555549275e-05,47
categorical__age_band_61_75,6.343920540530235e-05,8.402193088841159e-06,48
categorical__cluster_category_2,5.5744138080626726e-05,3.089117797117069e-07,49
