feature,importance,signed_delta,rank
numeric__claim_amount_inr,0.02433786354959011,0.022582242265343666,1
numeric__claim_to_income_ratio,0.018771439790725708,0.017582016065716743,2
numeric__log_patient_income,0.016701804473996162,-0.016618886962532997,3
categorical__cluster_category_1,0.01645643264055252,0.016068067401647568,4
numeric__claim_minus_income_scaled,0.008305891416966915,0.007381008937954903,5
numeric__log_claim_amount,0.00540387025102973,0.003733340185135603,6
numeric__patient_income_inr,0.0032498156651854515,-0.00268414244055748,7
categorical__cluster_category_0,0.002822414506226778,-0.002815159736201167,8
numeric__claim_month,0.002287131268531084,-0.0006618910119868815,9
numeric__cluster_code,0.002115978393703699,0.0005608761566691101,10
numeric__claim_month_sin,0.002012697048485279,-0.00011994194937869906,11
numeric__claim_day_of_month,0.0019509460544213653,0.0006075551500543952,12
numeric__patient_age_years,0.0018790769390761852,-0.0005631399108096957,13
numeric__claim_day_of_week,0.0018072426319122314,-0.0007098939386196434,14
numeric__claim_is_weekend,0.0016893523279577494,-0.0008975332020781934,15
numeric__claim_amount_per_age,0.0016718416009098291,-0.0005060958792455494,16
numeric__claim_month_cos,0.0015862119616940618,0.0007889521075412631,17
categorical__providerspecialty_Orthopedics,0.0014773044968023896,-0.001069365069270134,18
numeric__claim_year,0.0014315454754978418,-0.0006012098747305572,19
categorical__patientemploymentstatus_Unemployed,0.0011888646986335516,-0.0007651438936591148,20
categorical__patientgender_M,0.0011491167824715376,0.00092728016898036,21
categorical__patientmaritalstatus_Widowed,0.0011474458733573556,-0.0007501819054596126,22
categorical__claimtype_Routine,0.0010887663811445236,-0.0007767727365717292,23
categorical__cluster_category_3,0.0010538740316405892,-0.0010054578306153417,24
categorical__providerspecialty_Neurology,0.001014168024994433,-0.0006221826188266277,25
categorical__patientgender_F,0.0009948165388777852,0.0006494200206361711,26
categorical__patientmaritalstatus_Married,0.000985297723673284,-0.0006411338108591735,27
numeric__income_age_interaction,0.0008361435029655695,-0.00011785841343225911,28
categorical__claimsubmissionmethod_Paper,0.000760668539442122,0.0006814582156948745,29
categorical__patientemploymentstatus_Employed,0.0007223787251859903,0.0006878113490529358,30
categorical__age_band_76_plus,0.0007203976856544614,0.00015958714357111603,31
categorical__patientmaritalstatus_Single,0.0006889977375976741,-0.00042706108069978654,32
categorical__claimsubmissionmethod_Online,0.0006643526721745729,-0.0003158705367241055,33
categorical__claimtype_Inpatient,0.0006491854437626898,-0.00025855566491372883,34
categorical__cluster_category_2,0.0006316773942671716,-0.0005659525631926954,35
categorical__claimtype_Outpatient,0.0006231556180864573,-0.00028853846015408635,36
categorical__claimsubmissionmethod_Phone,0.0006063289474695921,2.9338360036490485e-05,37
categorical__providerspecialty_Cardiology,0.000568114744964987,-0.00016687298193573952,38
categorical__providerspecialty_General Practice,0.0005248606321401894,-0.00030472016078419983,39
categorical__claimtype_Emergency,0.0005155098624527454,-0.000249510514549911,40
categorical__patientmaritalstatus_Divorced,0.0004663753497879952,7.068920240271837e-05,41
categorical__age_band_18_30,0.00043149758130311966,0.0004312005185056478,42
categorical__providerspecialty_Pediatrics,0.0004141910176258534,-7.638191891601309e-05,43
categorical__patientemploymentstatus_Student,0.00039810134330764413,8.328914191224612e-06,44
categorical__age_band_46_60,0.00033810376771725714,0.00033810376771725714,45
categorical__age_band_0_17,0.00033170031383633614,-0.00010842466144822538,46
categorical__age_band_61_75,0.0003179395280312747,0.00017924761050380766,47
categorical__age_band_31_45,0.000258437154116109,0.000258437154116109,48
categorical__patientemploymentstatus_Retired,0.0002176663838326931,0.00013768411008641124,49
