feature,importance,signed_delta,rank
numeric__claim_amount_inr,0.07988625764846802,0.07987245917320251,1
categorical__cluster_category_1,0.07897339016199112,0.07896298170089722,2
numeric__claim_to_income_ratio,0.06217476353049278,0.062173210084438324,3
numeric__claim_minus_income_scaled,0.04274380952119827,0.04274258390069008,4
numeric__log_claim_amount,0.027148311957716942,0.027137359604239464,5
numeric__claim_month_sin,0.0017667224165052176,0.001721095759421587,6
categorical__patientemploymentstatus_Employed,0.0014666110510006547,0.0014564309967681766,7
numeric__claim_year,0.0010425467044115067,0.0010300535941496491,8
categorical__claimsubmissionmethod_Paper,0.0010037313913926482,0.000994263682514429,9
categorical__patientemploymentstatus_Unemployed,0.0008700653561390936,0.0008623201865702868,10
categorical__claimtype_Outpatient,0.0008653106051497161,0.0008532154024578631,11
numeric__claim_month,0.0007780443411320448,0.0006901980959810317,12
categorical__patientmaritalstatus_Married,0.0007754237740300596,0.0007658128160983324,13
numeric__claim_is_weekend,0.0007616254733875394,0.0007533509051427245,14
categorical__age_band_18_30,0.0007477783365175128,0.0007452553836628795,15
categorical__claimsubmissionmethod_Phone,0.0007185151916928589,0.0007105547119863331,16
categorical__patientgender_M,0.0007145280833356082,0.0006973613635636866,17
numeric__claim_day_of_month,0.0007032842840999365,0.0005746937822550535,18
categorical__providerspecialty_Pediatrics,0.0006930552772246301,0.0006888691568747163,19
numeric__claim_day_of_week,0.0006695778574794531,0.0006455505499616265,20
categorical__claimtype_Routine,0.0005870172171853483,0.0005821756203658879,21
categorical__patientgender_F,0.0005656389403156936,0.0005563588347285986,22
numeric__claim_month_cos,0.0005304189398884773,0.00039448271854780614,23
categorical__age_band_46_60,0.0004990343004465103,0.0004968245048075914,24
categorical__patientmaritalstatus_Single,0.0004762190510518849,0.0004720472788903862,25
categorical__providerspecialty_Neurology,0.00047037514741532505,0.00046512350672855973,26
numeric__cluster_code,0.00046691871830262244,0.0004601824330165982,27
numeric__patient_income_inr,0.0004599739913828671,0.0004504051757976413,28
numeric__log_patient_income,0.00045214680721983314,0.00043947354424744844,29
numeric__claim_amount_per_age,0.00032766355434432626,0.0002242568152723834,30
categorical__claimtype_Emergency,0.0003170497075188905,0.00031336414394900203,31
categorical__providerspecialty_Orthopedics,0.0003148722753394395,0.0003094584390055388,32
numeric__patient_age_years,0.00029940804233774543,0.00017429982835892588,33
numeric__income_age_interaction,0.0002927456225734204,0.0002909128670580685,34
categorical__age_band_0_17,0.0002888004237320274,0.00028534664306789637,35
categorical__providerspecialty_Cardiology,0.00018750452727545053,0.00018124347843695432,36
categorical__patientmaritalstatus_Widowed,0.0001281281147385016,0.00012264592805877328,37
categorical__claimtype_Inpatient,0.00010358092549722642,9.699420479591936e-05,38
categorical__patientemploymentstatus_Retired,7.845187792554498e-05,7.36164438421838e-05,39
categorical__age_band_76_plus,2.1617028323817067e-05,1.377007629344007e-05,40
categorical__patientmaritalstatus_Divorced,1.9456903828540817e-05,1.1376658221706748e-05,41
categorical__age_band_31_45,1.915888424264267e-05,1.4581444702344015e-05,42
categorical__patientemploymentstatus_Student,1.870407140813768e-05,1.4393393030331936e-05,43
categorical__claimsubmissionmethod_Online,1.7902782929013483e-05,1.0407777153886855e-05,44
categorical__providerspecialty_General Practice,1.7428073988412507e-05,1.2813725334126502e-05,45
categorical__age_band_61_75,1.3768752069154289e-05,8.310983503179159e-06,46
categorical__cluster_category_3,3.500950469970121e-06,-2.9934915346530033e-06,47
categorical__cluster_category_0,3.0360529308381956e-06,-2.964974328278913e-06,48
categorical__cluster_category_2,2.817667109411559e-06,-1.0408638217995758e-06,49
