feature,importance
PatientIncome,0.6675765847740349
ClaimAmount,0.3324234152259232
DiagnosisCode_Mb593,4.167411333365536e-14
ProcedureCode_Ba624,0.0
ProcedureCode_Ba635,0.0
ProcedureCode_Bb268,0.0
ProcedureCode_Bb534,0.0
ProcedureCode_Bb569,0.0
ProcedureCode_Bb878,0.0
ProcedureCode_Ba592,0.0
ProcedureCode_Bd854,0.0
ProcedureCode_Bd935,0.0
ProcedureCode_Be272,0.0
ProcedureCode_Be281,0.0
ProcedureCode_Bf515,0.0
ProcedureCode_Bg087,0.0
ProcedureCode_Bi507,0.0
ProcedureCode_Bc319,0.0
ProcedureCode_BP432,0.0
ProcedureCode_BP623,0.0
ProcedureCode_BP959,0.0
ProcedureCode_BQ451,0.0
ProcedureCode_BS777,0.0
ProcedureCode_BT150,0.0
ProcedureCode_BU131,0.0
ProcedureCode_BZ139,0.0
ProcedureCode_BU704,0.0
ProcedureCode_BV823,0.0
ProcedureCode_BX290,0.0
ProcedureCode_BX956,0.0
ProcedureCode_BX979,0.0
ProcedureCode_BY020,0.0
ProcedureCode_BY814,0.0
ProcedureCode_Bj637,0.0
ProcedureCode_BU491,0.0
ProcedureCode_CP092,0.0
ProcedureCode_CO696,0.0
ProcedureCode_CM257,0.0
ProcedureCode_CL895,0.0
ProcedureCode_CL248,0.0
ProcedureCode_CK468,0.0
ProcedureCode_CI628,0.0
ProcedureCode_CI375,0.0
ProcedureCode_CH753,0.0
ProcedureCode_CE863,0.0
ProcedureCode_CD941,0.0
ProcedureCode_CD268,0.0
ProcedureCode_CC216,0.0
ProcedureCode_CB201,0.0
ProcedureCode_CA503,0.0
ProcedureCode_Bl418,0.0
ProcedureCode_BP244,0.0
ProcedureCode_Bm586,0.0
ProcedureCode_Bn083,0.0
ProcedureCode_Bo015,0.0
ProcedureCode_Bo619,0.0
ProcedureCode_Bo681,0.0
ProcedureCode_Bo722,0.0
ProcedureCode_By679,0.0
ProcedureCode_Bp843,0.0
ProcedureCode_Bq401,0.0
ProcedureCode_Bq477,0.0
ProcedureCode_Br548,0.0
ProcedureCode_Bw354,0.0
ProcedureCode_Bx854,0.0
ProcedureCode_By036,0.0
ProcedureCode_By209,0.0
ProcedureCode_Bp319,0.0
ProcedureCode_Am159,0.0
ProcedureCode_Al962,0.0
ProcedureCode_Aj692,0.0
ProcedureCode_Ai989,0.0
ProcedureCode_Ai840,0.0
ProcedureCode_Ag150,0.0
ProcedureCode_Ae829,0.0
ProcedureCode_Ad504,0.0
ProcedureCode_Ac746,0.0
ProcedureCode_AZ990,0.0
ProcedureCode_AZ250,0.0
ProcedureCode_AY741,0.0
ProcedureCode_AV280,0.0
ProcedureCode_AU886,0.0
ProcedureCode_AS930,0.0
ProcedureCode_BN643,0.0
DiagnosisCode_zx303,0.0
DiagnosisCode_zx832,0.0
DiagnosisCode_zy476,0.0
DiagnosisCode_zz397,0.0
DiagnosisCode_zz569,0.0
ProcedureCode_AA395,0.0
ProcedureCode_AC425,0.0
ProcedureCode_AS836,0.0
ProcedureCode_AF583,0.0
ProcedureCode_AG167,0.0
ProcedureCode_AG651,0.0
ProcedureCode_AJ468,0.0
ProcedureCode_AN699,0.0
ProcedureCode_AN856,0.0
ProcedureCode_AO553,0.0
ProcedureCode_AO671,0.0
ProcedureCode_AD818,0.0
ProcedureCode_BD822,0.0
ProcedureCode_BD870,0.0
ProcedureCode_BE258,0.0
ProcedureCode_BE342,0.0
ProcedureCode_BF419,0.0
ProcedureCode_BI013,0.0
ProcedureCode_BI159,0.0
ProcedureCode_Am765,0.0
ProcedureCode_BJ038,0.0
ProcedureCode_BJ736,0.0
ProcedureCode_BK947,0.0
ProcedureCode_BL194,0.0
ProcedureCode_BN042,0.0
ProcedureCode_BN487,0.0
ProcedureCode_BN628,0.0
ProcedureCode_CP252,0.0
ProcedureCode_BI471,0.0
ProcedureCode_Ao348,0.0
ProcedureCode_Ap335,0.0
ProcedureCode_Ap581,0.0
ProcedureCode_Ar051,0.0
ProcedureCode_At333,0.0
ProcedureCode_Au827,0.0
ProcedureCode_Av676,0.0
ProcedureCode_BD590,0.0
ProcedureCode_Az317,0.0
ProcedureCode_Az726,0.0
ProcedureCode_BA274,0.0
ProcedureCode_BA336,0.0
ProcedureCode_BA773,0.0
ProcedureCode_BB312,0.0
ProcedureCode_BB951,0.0
ProcedureCode_BD513,0.0
ProcedureCode_Ax951,0.0
ProcedureCode_Dy167,0.0
ProcedureCode_Dw348,0.0
ProcedureCode_Dv910,0.0
ProcedureCode_Du639,0.0
ProcedureCode_Dt986,0.0
ProcedureCode_Dr658,0.0
ProcedureCode_Dr009,0.0
ProcedureCode_Dq377,0.0
ProcedureCode_Dq120,0.0
ProcedureCode_Dp741,0.0
ProcedureCode_Dp562,0.0
ProcedureCode_Do579,0.0
ProcedureCode_Dm485,0.0
ProcedureCode_Dk292,0.0
ProcedureCode_Dk165,0.0
ProcedureCode_CP533,0.0
ProcedureCode_DQ789,0.0
ProcedureCode_DS265,0.0
ProcedureCode_DT288,0.0
ProcedureCode_DT615,0.0
ProcedureCode_DU068,0.0
ProcedureCode_DU294,0.0
ProcedureCode_DU708,0.0
ProcedureCode_Di707,0.0
ProcedureCode_DV550,0.0
ProcedureCode_DX110,0.0
ProcedureCode_DY214,0.0
ProcedureCode_DZ913,0.0
ProcedureCode_Da114,0.0
ProcedureCode_Dc471,0.0
ProcedureCode_De995,0.0
ProcedureCode_Dg072,0.0
ProcedureCode_DV357,0.0
ProcedureCode_El586,0.0
ProcedureCode_Ek750,0.0
ProcedureCode_Ei622,0.0
ProcedureCode_Ei584,0.0
ProcedureCode_Ef491,0.0
ProcedureCode_Ef231,0.0
ProcedureCode_Ee593,0.0
ProcedureCode_Ed394,0.0
ProcedureCode_Ec911,0.0
ProcedureCode_Eb402,0.0
ProcedureCode_Eb123,0.0
ProcedureCode_Eb020,0.0
ProcedureCode_EY745,0.0
ProcedureCode_EX142,0.0
ProcedureCode_EV440,0.0
ProcedureCode_Dz384,0.0
ProcedureCode_Dz585,0.0
ProcedureCode_EC275,0.0
ProcedureCode_ED408,0.0
ProcedureCode_ED795,0.0
ProcedureCode_EE777,0.0
ProcedureCode_EF140,0.0
ProcedureCode_EG264,0.0
ProcedureCode_ET841,0.0
ProcedureCode_EH683,0.0
ProcedureCode_EJ363,0.0
ProcedureCode_EN744,0.0
ProcedureCode_EO501,0.0
ProcedureCode_EP896,0.0
ProcedureCode_EP966,0.0
ProcedureCode_ER501,0.0
ProcedureCode_ET138,0.0
ProcedureCode_EH351,0.0
ProcedureCode_Cn903,0.0
ProcedureCode_Cn774,0.0
ProcedureCode_Cn769,0.0
ProcedureCode_Cl366,0.0
ProcedureCode_Ck301,0.0
ProcedureCode_Cj871,0.0
ProcedureCode_Cj218,0.0
ProcedureCode_Ci894,0.0
ProcedureCode_Ci737,0.0
ProcedureCode_Ci572,0.0
ProcedureCode_Ci385,0.0
ProcedureCode_Ch895,0.0
ProcedureCode_Ch741,0.0
ProcedureCode_Cg837,0.0
ProcedureCode_Cg674,0.0
ProcedureCode_DQ283,0.0
DiagnosisCode_zx211,0.0
ProcedureCode_CP684,0.0
ProcedureCode_CR095,0.0
ProcedureCode_CS841,0.0
ProcedureCode_CT042,0.0
ProcedureCode_CT339,0.0
ProcedureCode_CV008,0.0
ProcedureCode_Cf638,0.0
ProcedureCode_CW709,0.0
ProcedureCode_CW756,0.0
ProcedureCode_CY185,0.0
ProcedureCode_CZ794,0.0
ProcedureCode_CZ839,0.0
ProcedureCode_Cc774,0.0
ProcedureCode_Cd353,0.0
ProcedureCode_Cf120,0.0
ProcedureCode_CW599,0.0
ProcedureCode_DD726,0.0
ProcedureCode_DD999,0.0
ProcedureCode_DE652,0.0
ProcedureCode_DE805,0.0
ProcedureCode_DH184,0.0
ProcedureCode_DH309,0.0
ProcedureCode_DH918,0.0
ProcedureCode_Co031,0.0
ProcedureCode_DI438,0.0
ProcedureCode_DJ942,0.0
ProcedureCode_DL424,0.0
ProcedureCode_DL592,0.0
ProcedureCode_DL812,0.0
ProcedureCode_DM718,0.0
ProcedureCode_DN433,0.0
ProcedureCode_DN990,0.0
ProcedureCode_DH949,0.0
ProcedureCode_Co570,0.0
ProcedureCode_Cp525,0.0
ProcedureCode_Cp589,0.0
